old_ex_id,pack,source,source_line,source_status,report_reason,br_refs,tc_refs,all_ac_refs,active_ac_refs,candidate_class,final_disposition,authority,manual_resolution,archived_source,active_br_refs,br_ac_refs,live_tc_ac_refs,br_tc_intersection,proposed_ac
EX-0001-0023,spec-0001,.qfai/spec/spec-0001/05_Examples.md,34,,has no single derived criterion,BR-0001-0013,TC-0001-0023,AC-0001-0006,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0013,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0024,spec-0001,.qfai/spec/spec-0001/05_Examples.md,35,,has no single derived criterion,BR-0001-0015,TC-0001-0011,AC-0001-0007,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0015,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0003-0007,spec-0003,.qfai/spec/spec-0003/05_Examples.md,18,,has no single derived criterion,BR-0003-0011,"TC-0003-0007,TC-0003-0008","AC-0003-0007,AC-0003-0008","AC-0003-0007,AC-0003-0008",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0003-0011,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,BR-0003-0011,"AC-0003-0007,AC-0003-0008","AC-0003-0007,AC-0003-0008","AC-0003-0007,AC-0003-0008",
EX-0003-0020,spec-0003,.qfai/spec/spec-0003/05_Examples.md,29,,has no single derived criterion,BR-0003-0017,TC-0003-0023,"AC-0003-0019,AC-0003-0020","AC-0003-0019,AC-0003-0020",multiple_active_ac,active_single_br_tc_target,plan.yaml#BR-0003-0017,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,BR-0003-0017,AC-0003-0019,"AC-0003-0019,AC-0003-0020",AC-0003-0019,AC-0003-0019
EX-0003-0021,spec-0003,.qfai/spec/spec-0003/05_Examples.md,30,,has no single derived criterion,BR-0003-0018,TC-0003-0024,AC-0003-0021,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0003-0018,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,,,,,
EX-0003-0023,spec-0003,.qfai/spec/spec-0003/05_Examples.md,32,,has no single derived criterion,BR-0003-0020,TC-0003-0026,"AC-0003-0023,AC-0003-0024","AC-0003-0023,AC-0003-0024",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0003-0020,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,BR-0003-0020,"AC-0003-0023,AC-0003-0024","AC-0003-0023,AC-0003-0024","AC-0003-0023,AC-0003-0024",
EX-0003-0028,spec-0003,.qfai/spec/spec-0003/05_Examples.md,37,,has no single derived criterion,BR-0003-0025,TC-0003-0031,"AC-0003-0027,AC-0003-0028","AC-0003-0027,AC-0003-0028",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0003-0025,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,BR-0003-0025,"AC-0003-0027,AC-0003-0028","AC-0003-0027,AC-0003-0028","AC-0003-0027,AC-0003-0028",
EX-0004-0004,spec-0004,.qfai/spec/spec-0004/05_Examples.md,23,,has no single derived criterion,"BR-0004-0001,BR-0004-0002","TC-0004-0001,TC-0004-0002","AC-0004-0001,AC-0004-0002","AC-0004-0001,AC-0004-0002",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0004-0001; plan.yaml#BR-0004-0002,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0004/05_Examples.md,"BR-0004-0001,BR-0004-0002","AC-0004-0001,AC-0004-0002","AC-0004-0001,AC-0004-0002","AC-0004-0001,AC-0004-0002",
EX-0004-0037,spec-0004,.qfai/spec/spec-0004/05_Examples.md,245,,has no single derived criterion,BR-0004-0029,"TC-0004-0065,TC-0004-0066","AC-0004-0031,AC-0004-0032","AC-0004-0031,AC-0004-0032",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0004-0029,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0004/05_Examples.md,BR-0004-0029,"AC-0004-0031,AC-0004-0032","AC-0004-0031,AC-0004-0032","AC-0004-0031,AC-0004-0032",
EX-0008-0001,spec-0008,.qfai/spec/spec-0008/05_Examples.md,3,,has no single derived criterion,BR-0008-0003,"TC-0008-0001,TC-0008-0007","AC-0008-0001,AC-0008-0007","AC-0008-0001,AC-0008-0007",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0008-0003,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,BR-0008-0003,AC-0008-0003,"AC-0008-0001,AC-0008-0007",,
EX-0008-0002,spec-0008,.qfai/spec/spec-0008/05_Examples.md,11,,has no single derived criterion,BR-0008-0001,"TC-0008-0002,TC-0008-0004","AC-0008-0002,AC-0008-0004","AC-0008-0002,AC-0008-0004",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0008-0001,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,BR-0008-0001,AC-0008-0001,"AC-0008-0002,AC-0008-0004",,
EX-0008-0005,spec-0008,.qfai/spec/spec-0008/05_Examples.md,33,,has no single derived criterion,BR-0008-0004,"TC-0008-0006,TC-0008-0008","AC-0008-0006,AC-0008-0008","AC-0008-0006,AC-0008-0008",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0008-0004,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,BR-0008-0004,AC-0008-0004,"AC-0008-0006,AC-0008-0008",,
EX-0008-0017,spec-0008,.qfai/spec/spec-0008/05_Examples.md,127,,has no single derived criterion,BR-0008-0005,TC-0008-0022,"AC-0008-0002,AC-0008-0004","AC-0008-0002,AC-0008-0004",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0008-0005,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,BR-0008-0005,AC-0008-0005,"AC-0008-0002,AC-0008-0004",,
EX-0009-0001,spec-0009,.qfai/spec/spec-0009/05_Examples.md,3,,has no single derived criterion,"BR-0009-0001,BR-0009-0002","TC-0009-0001,TC-0009-0002,TC-0009-0005,TC-0009-0008","AC-0009-0001,AC-0009-0002,AC-0009-0005,AC-0009-0007","AC-0009-0001,AC-0009-0002,AC-0009-0005,AC-0009-0007",multiple_active_ac,active_reviewed_semantic_target,plan.yaml#BR-0009-0001; plan.yaml#BR-0009-0002,Use the reviewed target in example-disposition.md; align old TC references through SDD before step 4 or re-author one EX under the mapped AC after step 4.,.qfai/evidence/migration-spec-to-story/retired/spec-0009/05_Examples.md,"BR-0009-0001,BR-0009-0002","AC-0009-0001,AC-0009-0002","AC-0009-0001,AC-0009-0002,AC-0009-0005,AC-0009-0007","AC-0009-0001,AC-0009-0002",AC-0009-0002
EX-0009-0003,spec-0009,.qfai/spec/spec-0009/05_Examples.md,17,,has no single derived criterion,BR-0009-0004,"TC-0009-0004,TC-0009-0007","AC-0009-0004,AC-0009-0006","AC-0009-0004,AC-0009-0006",multiple_active_ac,active_single_br_tc_target,plan.yaml#BR-0009-0004,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0009/05_Examples.md,BR-0009-0004,AC-0009-0004,"AC-0009-0004,AC-0009-0006",AC-0009-0004,AC-0009-0004
EX-0011-0002,spec-0011,.qfai/spec/spec-0011/05_Examples.md,31,,has no single derived criterion,BR-0011-0002,TC-0011-0002,AC-0011-0002,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0011-0002,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0011/05_Examples.md,,,,,
EX-0011-0003,spec-0011,.qfai/spec/spec-0011/05_Examples.md,38,,has no single derived criterion,BR-0011-0002,TC-0011-0004,AC-0011-0004,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0011-0002,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0011/05_Examples.md,,,,,
EX-0012-0001,spec-0012,.qfai/spec/spec-0012/05_Examples.md,3,"superseded — see EX-0012-0136 / EX-0012-0137 (per-spec iter-dir layout, `.review.json`-only; PNG/HTML capture retired by new model).","is superseded — see EX-0012-0136 / EX-0012-0137 (per-spec iter-dir layout, `.review.json`-only; PNG/HTML capture retired by new model).; keep the source for disposition",BR-0012-0002,"TC-0012-0290,TC-0012-0342","AC-0012-0002,AC-0012-0030",AC-0012-0002,explicit_superseded,retired_or_superseded,retired-rule-disposition.md#BR-0012-0002,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,AC-0012-0002,,
EX-0012-0002,spec-0012,.qfai/spec/spec-0012/05_Examples.md,12,superseded — see EX-0012-0137 (no `.png` written by new model; Reviewer-driven Playwright replaces capture step).,is superseded — see EX-0012-0137 (no `.png` written by new model; Reviewer-driven Playwright replaces capture step).; keep the source for disposition,BR-0012-0003,TC-0012-0291,AC-0012-0003,,explicit_superseded,retired_or_superseded,retired-rule-disposition.md#BR-0012-0003,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0003,spec-0012,.qfai/spec/spec-0012/05_Examples.md,22,superseded — see EX-0012-0137 (no `.html` written by new model; Reviewer-driven Playwright replaces capture step).,is superseded — see EX-0012-0137 (no `.html` written by new model; Reviewer-driven Playwright replaces capture step).; keep the source for disposition,BR-0012-0003,TC-0012-0291,AC-0012-0003,,explicit_superseded,retired_or_superseded,retired-rule-disposition.md#BR-0012-0003,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0089,spec-0012,.qfai/spec/spec-0012/05_Examples.md,39,,has no single derived criterion,BR-0012-0005,"TC-0012-0294,TC-0012-0295,TC-0012-0296,TC-0012-0336,TC-0012-0343","AC-0012-0005,AC-0012-0021,AC-0012-0022",AC-0012-0005,single_active_ac,active_single_br_tc_target,plan.yaml#BR-0012-0005,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0005,AC-0012-0005,AC-0012-0005,AC-0012-0005,AC-0012-0005
EX-0012-0098,spec-0012,.qfai/spec/spec-0012/05_Examples.md,48,,has no single derived criterion,BR-0012-0004,"TC-0012-0285,TC-0012-0286,TC-0012-0293,TC-0012-0337,TC-0012-0344,TC-0012-0351","AC-0012-0001,AC-0012-0004,AC-0012-0020,AC-0012-0031","AC-0012-0001,AC-0012-0004",multiple_active_ac,active_single_br_tc_target,plan.yaml#BR-0012-0004,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0004,AC-0012-0004,"AC-0012-0001,AC-0012-0004",AC-0012-0004,AC-0012-0004
EX-0012-0102,spec-0012,.qfai/spec/spec-0012/05_Examples.md,76,,has no single derived criterion,"BR-0012-0008,BR-0012-0010",TC-0012-0313,"AC-0012-0008,AC-0012-0010",,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0012-0008; retired-rule-disposition.md#BR-0012-0010,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0110,spec-0012,.qfai/spec/spec-0012/05_Examples.md,85,superseded — see EX-0012-0124 (10-cycle terminator) and EX-0012-0130 (AND-across-spec×screen qualitative convergence). 15-cycle narrative retired.,is superseded — see EX-0012-0124 (10-cycle terminator) and EX-0012-0130 (AND-across-spec×screen qualitative convergence). 15-cycle narrative retired.; keep the source for disposition,BR-0012-0024,"TC-0012-0319,TC-0012-0321,TC-0012-0322,TC-0012-0323,TC-0012-0324,TC-0012-0325,TC-0012-0330,TC-0012-0334,TC-0012-0338,TC-0012-0339,TC-0012-0340,TC-0012-0345,TC-0012-0350,TC-0012-0352","AC-0012-0020,AC-0012-0021,AC-0012-0028,AC-0012-0029,AC-0012-0032,AC-0012-0033",AC-0012-0032,explicit_superseded,retired_or_superseded,retired-rule-disposition.md#BR-0012-0024,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,AC-0012-0032,,
EX-0012-0111,spec-0012,.qfai/spec/spec-0012/05_Examples.md,93,,has no single derived criterion,BR-0012-0021,"TC-0012-0320,TC-0012-0331,TC-0012-0332,TC-0012-0333,TC-0012-0341,TC-0012-0349","AC-0012-0023,AC-0012-0024,AC-0012-0025,AC-0012-0026,AC-0012-0027","AC-0012-0023,AC-0012-0024,AC-0012-0025,AC-0012-0026,AC-0012-0027",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0021,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0021,"AC-0012-0026,AC-0012-0027","AC-0012-0023,AC-0012-0024,AC-0012-0025,AC-0012-0026,AC-0012-0027","AC-0012-0026,AC-0012-0027",
EX-0012-0112,spec-0012,.qfai/spec/spec-0012/05_Examples.md,100,,has no single derived criterion,BR-0012-0026,"TC-0012-0326,TC-0012-0327,TC-0012-0347,TC-0012-0348","AC-0012-0034,AC-0012-0035","AC-0012-0034,AC-0012-0035",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0026,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0026,"AC-0012-0034,AC-0012-0035","AC-0012-0034,AC-0012-0035","AC-0012-0034,AC-0012-0035",
EX-0012-0113,spec-0012,.qfai/spec/spec-0012/05_Examples.md,107,,has no single derived criterion,BR-0012-0024,"TC-0012-0328,TC-0012-0329",AC-0012-0028,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0012-0024,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0115,spec-0012,.qfai/spec/spec-0012/05_Examples.md,121,,has no single derived criterion,BR-0012-0017,TC-0012-0344,AC-0012-0020,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0012-0017,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0116,spec-0012,.qfai/spec/spec-0012/05_Examples.md,129,,has no single derived criterion,BR-0012-0018,TC-0012-0339,AC-0012-0020,,only_retired_ac,active_no_live_ac,plan.yaml#BR-0012-0018,Use /qfai-sdd to establish a current AC and TC/EX chain for this active BR; the retired AC cannot be revived.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0018,,,,
EX-0012-0117,spec-0012,.qfai/spec/spec-0012/05_Examples.md,136,superseded — see EX-0012-0128 (new payload contains 6 qualitative `*Feel` fields + 4 ordinal axes; path moves to `iter-NN/spec-NNNN/<screen>.review.json`).,is superseded — see EX-0012-0128 (new payload contains 6 qualitative `*Feel` fields + 4 ordinal axes; path moves to `iter-NN/spec-NNNN/<screen>.review.json`).; keep the source for disposition,BR-0012-0019,TC-0012-0330,AC-0012-0021,,explicit_superseded,retired_or_superseded,retired-rule-disposition.md#BR-0012-0019,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0120,spec-0012,.qfai/spec/spec-0012/05_Examples.md,158,,has no single derived criterion,BR-0012-0023,TC-0012-0351,AC-0012-0020,,only_retired_ac,active_no_live_ac,plan.yaml#BR-0012-0023,Use /qfai-sdd to establish a current AC and TC/EX chain for this active BR; the retired AC cannot be revived.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0023,,,,
EX-0012-0121,spec-0012,.qfai/spec/spec-0012/05_Examples.md,165,,has no single derived criterion,BR-0012-0025,TC-0012-0337,AC-0012-0031,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0012-0025,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,,,,,
EX-0012-0123,spec-0012,.qfai/spec/spec-0012/05_Examples.md,184,,has no single derived criterion,BR-0012-0028,"TC-0012-0355,TC-0012-0375,TC-0012-0396,TC-0012-0398,TC-0012-0401,TC-0012-0404,TC-0012-0409,TC-0012-0410","AC-0012-0037,AC-0012-0044,AC-0012-0049","AC-0012-0037,AC-0012-0044,AC-0012-0049",multiple_active_ac,active_single_br_tc_target,plan.yaml#BR-0012-0028,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0028,AC-0012-0037,"AC-0012-0037,AC-0012-0044,AC-0012-0049",AC-0012-0037,AC-0012-0037
EX-0012-0124,spec-0012,.qfai/spec/spec-0012/05_Examples.md,191,,has no single derived criterion,BR-0012-0029,"TC-0012-0357,TC-0012-0358,TC-0012-0393","AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0029,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0029,"AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039",
EX-0012-0125,spec-0012,.qfai/spec/spec-0012/05_Examples.md,198,,has no single derived criterion,BR-0012-0029,"TC-0012-0359,TC-0012-0360,TC-0012-0361","AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0029,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0029,"AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039","AC-0012-0038,AC-0012-0039",
EX-0012-0134,spec-0012,.qfai/spec/spec-0012/05_Examples.md,261,,has no single derived criterion,BR-0012-0034,"TC-0012-0373,TC-0012-0375","AC-0012-0044,AC-0012-0045","AC-0012-0044,AC-0012-0045",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0034,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0034,"AC-0012-0044,AC-0012-0045,AC-0012-0052","AC-0012-0044,AC-0012-0045","AC-0012-0044,AC-0012-0045",
EX-0012-0135,spec-0012,.qfai/spec/spec-0012/05_Examples.md,268,,has no single derived criterion,BR-0012-0034,"TC-0012-0374,TC-0012-0375","AC-0012-0044,AC-0012-0045","AC-0012-0044,AC-0012-0045",multiple_active_ac,active_split_or_sdd_decision,plan.yaml#BR-0012-0034,Compare old example outcome with each live AC and TC. Split distinct outcomes into separate EXs or select one AC by /qfai-sdd; preserve old text and old-to-new provenance.,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0034,"AC-0012-0044,AC-0012-0045,AC-0012-0052","AC-0012-0044,AC-0012-0045","AC-0012-0044,AC-0012-0045",
EX-0012-0138,spec-0012,.qfai/spec/spec-0012/05_Examples.md,289,,has no single derived criterion,BR-0012-0036,"TC-0012-0381,TC-0012-0382,TC-0012-0399,TC-0012-0400,TC-0012-0402,TC-0012-0403,TC-0012-0405,TC-0012-0406,TC-0012-0407,TC-0012-0408,TC-0012-0411,TC-0012-0412,TC-0012-0413,TC-0012-0414","AC-0012-0037,AC-0012-0043,AC-0012-0047","AC-0012-0037,AC-0012-0043,AC-0012-0047",multiple_active_ac,active_single_br_tc_target,plan.yaml#BR-0012-0036,"Confirm source outcome against target AC; remove retired or unrelated TC links through SDD before rerunning step 4, or re-author one EX under the mapped AC after step 4.",.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,BR-0012-0036,AC-0012-0047,"AC-0012-0037,AC-0012-0043,AC-0012-0047",AC-0012-0047,AC-0012-0047
