oldAC,occurrence,source,heading,shape,explicitRefs,chosenOldUS,decision,reason,status,oldACExcerpt,chosenUSSource,chosenUSExcerpt
"AC-0001-0011","1","spec-0001/03_Acceptance-Criteria.md:97","# AC-0001-0011","gherkin_textual","","US-0001-0008","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0008: Skill オーケストレーション設計契約. Review source bodies before plan inclusion.","review_for_migration","Scenario: Skill 依存関係が DAG で定義されている Given Skill 依存関係を参照する When 依存グラフを確認する Then configure -.-> discussion → sdd → prototyping(optional) → atdd → verify の順序が定義されている And 循環依存が存在しない","spec-0001/02_User-stories.md:72","- Parent: CAP-0001 - Goal: Define skill orchestration against the installed package's skill inventory and resolved routing, including execution order and completion obligations. The inventory has no fixed count (`.qfai/contracts/cli/assistant-routing.md#owners"
"AC-0001-0012","1","spec-0001/03_Acceptance-Criteria.md:106","# AC-0001-0012","gherkin_textual","","US-0001-0009","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0009: Steering & Governance フレームワーク定義. Review source bodies before plan inclusion.","review_for_migration","Scenario: Canonical Workflow Stages が定義されている Given Steering & Governance 仕様を参照する When Canonical Workflow Stages を確認する Then Stage 0（steering refresh）～ Stage 6（verify）の 7 ステージが定義されている And Stage 0 は全 Skill 開始時に必須である And Stage 4（prototyping）はオプショナルである","spec-0001/02_User-stories.md:79","- Parent: CAP-0001 - Goal: Steering 文書（5 ファイル）、Instructions 文書（5 ファイル）、Review Roster（10 reviewers）、Constitution（Article I~~X）、Canonical Workflow Stages（Stage 0~~6）の設計仕様を定義する - Non-goals: A verbatim copy of each document (the SSOT is `steering/*.md` and `instru"
"AC-0001-0013","1","spec-0001/03_Acceptance-Criteria.md:116","# AC-0001-0013","gherkin_textual","","US-0001-0010","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0010: Story tree layout. Review source bodies before plan inclusion.","review_for_migration","Scenario: The story tree root holds the two tables and the three layers Given a project whose specification is on the story tree When the entries directly under `paths.specsDir` are listed Then they include `decisions.md`, `open-questions.md`, `01_policy/` and","spec-0001/02_User-stories.md:86","- Parent: CAP-0001 - Goal: On the story tree, define the layout of `paths.specsDir`: the two tables at its root, the layers `01_policy/`, `02_business-flow/` and `03_contract/`, one directory per business flow and per user story, and a story directory that hol"
"AC-0001-0014","1","spec-0001/03_Acceptance-Criteria.md:125","# AC-0001-0014","gherkin_textual","","US-0001-0010","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0010: Story tree layout. Review source bodies before plan inclusion.","review_for_migration","Scenario: The business-flow layer holds one directory per flow and per story Given a project on the story tree with at least one business flow When `02_business-flow/` is listed Then it holds `business-flows.md` and one `business-flow-NNNN/` directory per flow","spec-0001/02_User-stories.md:86","- Parent: CAP-0001 - Goal: On the story tree, define the layout of `paths.specsDir`: the two tables at its root, the layers `01_policy/`, `02_business-flow/` and `03_contract/`, one directory per business flow and per user story, and a story directory that hol"
"AC-0001-0015","1","spec-0001/03_Acceptance-Criteria.md:134","# AC-0001-0015","gherkin_textual","","US-0001-0010","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0010: Story tree layout. Review source bodies before plan inclusion.","review_for_migration","Scenario: A story directory holds exactly three files Given a story directory on the story tree When its entries are listed Then they are exactly `01_User-story.md`, `02_Acceptance-Criteria.md` and `03_Example.md` And it holds no subdirectory","spec-0001/02_User-stories.md:86","- Parent: CAP-0001 - Goal: On the story tree, define the layout of `paths.specsDir`: the two tables at its root, the layers `01_policy/`, `02_business-flow/` and `03_contract/`, one directory per business flow and per user story, and a story directory that hol"
"AC-0001-0016","1","spec-0001/03_Acceptance-Criteria.md:143","# AC-0001-0016","gherkin_textual","","US-0001-0011","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0011: Policy and contract layers. Review source bodies before plan inclusion.","review_for_migration","Scenario: The policy layer holds five files of principles Given a project on the story tree When `01_policy/` is listed Then it holds `objective.md`, `initiative.md`, `principle.md`, `glossary.md` and `constraint.md` And none of them states a concrete definiti","spec-0001/02_User-stories.md:93","- Parent: CAP-0001 - Goal: On the story tree, define the files of the policy layer and of the contract layer, the contract index that lists every contract file, and the one home of the quality-gate commands - Non-goals: The API, DB, UI, CLI and design contract"
"AC-0001-0017","1","spec-0001/03_Acceptance-Criteria.md:152","# AC-0001-0017","gherkin_textual","","US-0001-0011","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0011: Policy and contract layers. Review source bodies before plan inclusion.","review_for_migration","Scenario: The contract layer is indexed and states the gate commands once Given a project on the story tree When the contract layer at `paths.contractsDir` is read Then it holds `contracts.md`, `tech.md`, `structure.md` and the directories `api/`, `db/`, `ui/`","spec-0001/02_User-stories.md:93","- Parent: CAP-0001 - Goal: On the story tree, define the files of the policy layer and of the contract layer, the contract index that lists every contract file, and the one home of the quality-gate commands - Non-goals: The API, DB, UI, CLI and design contract"
"AC-0001-0018","1","spec-0001/03_Acceptance-Criteria.md:162","# AC-0001-0018","gherkin_textual","","US-0001-0012","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0012: Decision and open-question tables. Review source bodies before plan inclusion.","review_for_migration","Scenario: The two tables carry four columns and their own status vocabulary Given a project on the story tree When `decisions.md` and `open-questions.md` are read Then each holds one table with exactly the columns ID, Content, Approach and Status And a `decisi","spec-0001/02_User-stories.md:100","- Parent: CAP-0001 - Goal: On the story tree, record every decision and every open question of the project in two append-only tables, `decisions.md` and `open-questions.md`, including triage records, change requests and retired stories - Non-goals: The keyword"
"AC-0001-0019","1","spec-0001/03_Acceptance-Criteria.md:172","# AC-0001-0019","gherkin_textual","","US-0001-0012","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0012: Decision and open-question tables. Review source bodies before plan inclusion.","review_for_migration","Scenario: Table rows are only appended Given a row that `decisions.md` or `open-questions.md` already holds on the story tree When the table changes Then the row is still there with the same ID, Content and Approach And only its Status may differ And a new dec","spec-0001/02_User-stories.md:100","- Parent: CAP-0001 - Goal: On the story tree, record every decision and every open question of the project in two append-only tables, `decisions.md` and `open-questions.md`, including triage records, change requests and retired stories - Non-goals: The keyword"
"AC-0001-0020","1","spec-0001/03_Acceptance-Criteria.md:182","# AC-0001-0020","gherkin_textual","","US-0001-0012","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0012: Decision and open-question tables. Review source bodies before plan inclusion.","review_for_migration","Scenario: Triage records, change requests and retired stories are decision rows Given a project on the story tree When a triage operation, a change request or a story retirement is recorded Then it is recorded as a row of `decisions.md` And no file is written ","spec-0001/02_User-stories.md:100","- Parent: CAP-0001 - Goal: On the story tree, record every decision and every open question of the project in two append-only tables, `decisions.md` and `open-questions.md`, including triage records, change requests and retired stories - Non-goals: The keyword"
"AC-0001-0021","1","spec-0001/03_Acceptance-Criteria.md:191","# AC-0001-0021","gherkin_textual","","US-0001-0013","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0013: ID grammar. Review source bodies before plan inclusion.","review_for_migration","Scenario: Each ID has one of seven shapes and is declared once Given a project on the story tree When every declared ID is collected Then each has one of the shapes `BF-NNNN`, `US-NNNN-NNNN`, `AC-NNNN-NNNN-NN`, `EX-NNNN-NNNN-NN`, `BR-NNNN`, `DEC-NNNN` or `OQ-N","spec-0001/02_User-stories.md:107","- Parent: CAP-0001 - Goal: On the story tree, define the seven ID shapes, where each ID is declared, how a child ID carries its parent's number, and how the next ID is chosen - Non-goals: An ID allocation tool; renumbering during migration - Notes: discussion-"
"AC-0001-0022","1","spec-0001/03_Acceptance-Criteria.md:200","# AC-0001-0022","gherkin_textual","","US-0001-0013","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0013: ID grammar. Review source bodies before plan inclusion.","review_for_migration","Scenario: An ID carries the number of the directory it sits in Given a story directory inside a flow directory on the story tree When the IDs it declares are read Then the story ID starts with the flow's number And every AC and EX ID starts with the story ID A","spec-0001/02_User-stories.md:107","- Parent: CAP-0001 - Goal: On the story tree, define the seven ID shapes, where each ID is declared, how a child ID carries its parent's number, and how the next ID is chosen - Non-goals: An ID allocation tool; renumbering during migration - Notes: discussion-"
"AC-0001-0023","1","spec-0001/03_Acceptance-Criteria.md:210","# AC-0001-0023","gherkin_textual","","US-0001-0014","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0014: Traceability chain BF → US → AC → EX ← BR. Review source bodies before plan inclusion.","review_for_migration","Scenario: Each EX cites exactly one AC, and every AC has an EX Given a story on the story tree When the rows of its `03_Example.md` are read Then each EX row names exactly one existing AC of the same story in its `AC-Ref` cell And every AC of the story is name","spec-0001/02_User-stories.md:114","- Parent: CAP-0001 - Goal: On the story tree, define the chain BF → US → AC → EX ← BR: each EX cites one AC of its story, and each BR, written in the contract that enforces it, cites the EXs it abstracts - Non-goals: The finding codes validate raises, which th"
"AC-0001-0024","1","spec-0001/03_Acceptance-Criteria.md:219","# AC-0001-0024","gherkin_textual","","US-0001-0014","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0014: Traceability chain BF → US → AC → EX ← BR. Review source bodies before plan inclusion.","review_for_migration","Scenario: Business rules and examples cite each other many-to-many Given the contracts and stories of a project on the story tree When the examples of every business rule are read Then every BR cites at least one existing EX And every EX is cited by at least o","spec-0001/02_User-stories.md:114","- Parent: CAP-0001 - Goal: On the story tree, define the chain BF → US → AC → EX ← BR: each EX cites one AC of its story, and each BR, written in the contract that enforces it, cites the EXs it abstracts - Non-goals: The finding codes validate raises, which th"
"AC-0001-0025","1","spec-0001/03_Acceptance-Criteria.md:228","# AC-0001-0025","gherkin_textual","","US-0001-0014","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0014: Traceability chain BF → US → AC → EX ← BR. Review source bodies before plan inclusion.","review_for_migration","Scenario: A business rule lives in the contract that enforces it Given a business rule of a project on the story tree When the contract layer is read Then the rule is declared once, in the contract file that enforces it, in the form that file type allows And e","spec-0001/02_User-stories.md:114","- Parent: CAP-0001 - Goal: On the story tree, define the chain BF → US → AC → EX ← BR: each EX cites one AC of its story, and each BR, written in the contract that enforces it, cites the EXs it abstracts - Non-goals: The finding codes validate raises, which th"
"AC-0001-0026","1","spec-0001/03_Acceptance-Criteria.md:237","# AC-0001-0026","gherkin_textual","","US-0001-0015","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0015: Test annotation layers. Review source bodies before plan inclusion.","review_for_migration","Scenario: A test annotates the ID its layer verifies Given a test file of a project on the story tree When its layer is read from its directory Then an E2E test annotates a BF And an integration or API test annotates an AC And every other test annotates an EX","spec-0001/02_User-stories.md:121","- Parent: CAP-0001 - Goal: On the story tree, define which ID a test annotates by its layer: an E2E test a BF, an integration or API test an AC, and every other test an EX - Non-goals: Which skill writes which test - Notes: discussion-20260923063306456#REQ-000"
"AC-0001-0027","1","spec-0001/03_Acceptance-Criteria.md:247","# AC-0001-0027","gherkin_textual","","US-0001-0015","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0015: Test annotation layers. Review source bodies before plan inclusion.","review_for_migration","Scenario: Only BF, AC and EX annotations count as coverage Given a test of a project on the story tree annotated only with the `QFAI:SPEC-NNNN:` prefix or a contract ID When coverage is computed Then that annotation covers no item","spec-0001/02_User-stories.md:121","- Parent: CAP-0001 - Goal: On the story tree, define which ID a test annotates by its layer: an E2E test a BF, an integration or API test an AC, and every other test an EX - Non-goals: Which skill writes which test - Notes: discussion-20260923063306456#REQ-000"
"AC-0001-0028","1","spec-0001/03_Acceptance-Criteria.md:255","# AC-0001-0028","gherkin_textual","","US-0001-0016","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0016: Story-tree layout described by mdschema. Review source bodies before plan inclusion.","review_for_migration","Scenario: Every story-tree Markdown file has one schema entry and one template Given the mdschema manifest and the `qfai-sdd` templates When each Markdown file of the story tree is matched against them Then each of the sixteen fixed files and the Markdown CLI ","spec-0001/02_User-stories.md:128","- Parent: CAP-0001 - Goal: Describe every Markdown file of the story tree by one mdschema manifest entry and one paired template, so the layout has one description - Non-goals: The spec-pack entries of the manifest, which retire with the spec-pack layout - Not"
"AC-0001-0029","1","spec-0001/03_Acceptance-Criteria.md:264","# AC-0001-0029","gherkin_textual","","US-0001-0016","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0016: Story-tree layout described by mdschema. Review source bodies before plan inclusion.","review_for_migration","Scenario: The sample story tree passes both document lints Given the sample story tree built from the `qfai-sdd` templates When `pnpm lint:mdschema` and `pnpm lint:mermaid` run on it Then both report no failure","spec-0001/02_User-stories.md:128","- Parent: CAP-0001 - Goal: Describe every Markdown file of the story tree by one mdschema manifest entry and one paired template, so the layout has one description - Non-goals: The spec-pack entries of the manifest, which retire with the spec-pack layout - Not"
"AC-0001-0030","1","spec-0001/03_Acceptance-Criteria.md:272","# AC-0001-0030","gherkin_textual","","US-0001-0017","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0017: Assistant tree. Review source bodies before plan inclusion.","review_for_migration","Scenario: The assistant tree has four top-level directories Given an assistant tree in the `rule/ skill/ agent/ prompt/` layout When the entries directly under `.qfai/assistant/` are listed Then they are `rule/`, `skill/`, `agent/` and `prompt/`, plus `skill.l","spec-0001/02_User-stories.md:135","- Parent: CAP-0001 - Goal: With the `rule/ skill/ agent/ prompt/` assistant tree, define the top-level directories of `.qfai/assistant/` and where a file shared by several readers goes - Non-goals: The content of each rule file; the list of moved files, which "
"AC-0001-0031","1","spec-0001/03_Acceptance-Criteria.md:281","# AC-0001-0031","gherkin_textual","","US-0001-0017","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0017: Assistant tree. Review source bodies before plan inclusion.","review_for_migration","Scenario: A shared assistant file goes to rule/ and a single-skill file to its skill Given an assistant file in the `rule/ skill/ agent/ prompt/` layout When its readers are counted Then a file read by several skills or by the CLI sits under `rule/` And a file","spec-0001/02_User-stories.md:135","- Parent: CAP-0001 - Goal: With the `rule/ skill/ agent/ prompt/` assistant tree, define the top-level directories of `.qfai/assistant/` and where a file shared by several readers goes - Non-goals: The content of each rule file; the list of moved files, which "
"AC-0002-0001","1","spec-0002/03_Acceptance-Criteria.md:11","# AC-0002-0001","gherkin_textual","","US-0002-0001","proposed_semantic","AC heading/scenario '' describes the action in US-0002-0001: 15-file discussion-pack structure. Review source bodies before plan inclusion.","review_for_migration","Scenario: discussion-pack が 15 必須ファイルを含む Given discussion-pack ディレクトリが存在する When 必須ファイルを検証する Then 01_Context.md から 99_delta.md までの 15 ファイルが存在する","spec-0002/02_User-stories.md:23","As a QFAI user, I want `/qfai-discussion` to produce the canonical 15-file discussion pack, so that requirements, sources, OQs, review input, and delta are captured in one place."
"AC-0002-0008","1","spec-0002/03_Acceptance-Criteria.md:19","# AC-0002-0008","gherkin_textual","","US-0002-0005","proposed_semantic","AC heading/scenario '' describes the action in US-0002-0005: planner-first design authoring. Review source bodies before plan inclusion.","review_for_migration","Scenario: discussion は visual winner を選ばない Given UI-bearing discussion pack When discussion artifacts を検査する Then selected direction や finalized design system を discussion の完了条件として要求しない","spec-0002/02_User-stories.md:35","As a discussion facilitator, I want discussion to define exploration conditions and anti-goals without selecting a visual winner, so that prototyping remains the place where design direction is chosen."
"AC-0002-0009","1","spec-0002/03_Acceptance-Criteria.md:27","# AC-0002-0009","gherkin_textual","","US-0002-0009","proposed_semantic","AC heading/scenario '' describes the action in US-0002-0009: non-UI safe skip. Review source bodies before plan inclusion.","review_for_migration","Scenario: 非 UI パックは sidecar requirement をバイパスする Given non-UI discussion pack When discussion completion を検証する Then UI sidecar 欠落だけではエラーにならない","spec-0002/02_User-stories.md:43","As a non-UI project owner, I want UI sidecar requirements to be skipped safely, so that discussion completion is not blocked by irrelevant design artifacts."
"AC-0002-0010","1","spec-0002/03_Acceptance-Criteria.md:35","# AC-0002-0010","gherkin_textual","","US-0002-0003","proposed_semantic","AC heading/scenario '' describes the action in US-0002-0003: UI-bearing detection. Review source bodies before plan inclusion.","review_for_migration","Scenario: UI-bearing discussion packs require prototyping.yaml Given latest discussion pack is UI-bearing When discussion README / skill contract を検証する Then `prototyping.yaml` requiredness が明記されている","spec-0002/02_User-stories.md:31","As a maintainer, I want UI-bearing detection to control whether exploration-first sidecars are required, so that non-UI packs do not over-fire UI validators."
"AC-0003-0001","1","spec-0003/03_Acceptance-Criteria.md:11","# AC-0003-0001","gherkin_textual","","US-0003-0001","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0001: ワークスペース初期化. Review source bodies before plan inclusion.","review_for_migration","Scenario: Initialization succeeds in an empty directory Given an empty project directory When `qfai init` runs Then `.qfai/assistant/` is created And none of `specs/`, `contracts/`, `discussion/`, `evidence/`, `review/` and `report/` exists under `.qfai/` And ","spec-0003/02_User-stories.md:71","- Parent: CAP-0003 - Goal: `npx qfai init` creates `.qfai/assistant/` and the configuration file `qfai.config.yaml` at the project root. It scaffolds none of the artifact directories: `specs/`, `contracts/`, `discussion/`, `evidence/`, `review/` and `report/` "
"AC-0003-0002","1","spec-0003/03_Acceptance-Criteria.md:22","# AC-0003-0002","gherkin_textual","","US-0003-0002","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0002: 冪等な初期化. Review source bodies before plan inclusion.","review_for_migration","Scenario: 冪等な初期化 - 既存ファイルスキップ Given `.qfai/` ディレクトリが既に存在し、qfai.config.yaml が存在する When `qfai init` を再度実行する Then 既存ファイルはスキップされ、新規ファイルのみ追加される And スキップされたファイルの情報がコンソールに表示される","spec-0003/02_User-stories.md:78","- Parent: CAP-0003 - Goal: 2回目以降の `qfai init` 実行時に、既存ファイルをスキップし、新規ファイルのみ追加する - Non-goals: 既存ファイルの自動マージ・更新 - Notes: NFR-0012（冪等性）を満たすこと"
"AC-0003-0003","1","spec-0003/03_Acceptance-Criteria.md:31","# AC-0003-0003","gherkin_textual","","US-0003-0003","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0003: 強制更新. Review source bodies before plan inclusion.","review_for_migration","Scenario: --force overwrites the skills Given older skill files exist under `.qfai/assistant/skills/` (`.qfai/assistant/skill/` with the `rule/ skill/ agent/ prompt/` assistant tree) When `qfai init --force` runs Then the skill files under `skills/` are overwr","spec-0003/02_User-stories.md:85","- Parent: CAP-0003 - Goal: `qfai init --force` overwrites the skill files under `skills/` with the shipped release and leaves `skills.local/` untouched. With the `rule/ skill/ agent/ prompt/` assistant tree, the two directories are `skill/` and `skill.local/` "
"AC-0003-0004","1","spec-0003/03_Acceptance-Criteria.md:41","# AC-0003-0004","gherkin_textual","","US-0003-0004","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0004: ドライラン. Review source bodies before plan inclusion.","review_for_migration","Scenario: --dry-run で変更プレビュー Given 空のプロジェクトディレクトリが存在する When `qfai init --dry-run` を実行する Then 作成予定のファイル一覧が表示される And 実際にはファイルが作成されない","spec-0003/02_User-stories.md:92","- Parent: CAP-0003 - Goal: `qfai init --dry-run` で実行予定の変更内容をプレビュー表示し、実ファイル操作を行わない - Non-goals: ドライランでのファイル書き込み"
"AC-0003-0005","1","spec-0003/03_Acceptance-Criteria.md:50","# AC-0003-0005","gherkin_textual","","US-0003-0005","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0005: symlink ベースのスキル統合. Review source bodies before plan inclusion.","review_for_migration","Scenario: symlink-based skill integration Given an empty project directory When `qfai init` runs Then skill directory symlinks are created in `.claude/skills/`, `.github/skills/`, `.codex/skills/` and `.agents/skills/` And each symlink resolves through a relat","spec-0003/02_User-stories.md:98","- Parent: CAP-0003 - Goal: `qfai init` creates directory symlinks in `.claude/skills/`, `.agents/skills/`, `.codex/skills/` and `.github/skills/` pointing at `.qfai/assistant/skills/qfai-*`. With the `rule/ skill/ agent/ prompt/` assistant tree they point at `"
"AC-0003-0006","1","spec-0003/03_Acceptance-Criteria.md:60","# AC-0003-0006","gherkin_textual","","US-0003-0006","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0006: Agent symlink 統合. Review source bodies before plan inclusion.","review_for_migration","Scenario: Agent file symlinks Given a canonical agent card exists at `.qfai/assistant/agents/<name>.md` (`.qfai/assistant/agent/<name>.md` with the `rule/ skill/ agent/ prompt/` assistant tree) When `qfai init` runs Then `.claude/agents/<name>.md` and `.github","spec-0003/02_User-stories.md:105","- Parent: CAP-0003 - Goal: `qfai init` places `.claude/agents/<name>.md` and `.github/agents/<name>.agent.md` as file symlinks to `.qfai/assistant/agents/<name>.md`, or to `.qfai/assistant/agent/<name>.md` with the `rule/ skill/ agent/ prompt/` assistant tree."
"AC-0003-0007","1","spec-0003/03_Acceptance-Criteria.md:68","# AC-0003-0007","gherkin_textual","","US-0003-0007","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0007: レガシーファイル退避. Review source bodies before plan inclusion.","review_for_migration","Scenario: Legacy file removal Given `10_workflow.md` exists under `.qfai/assistant/skills/` (`.qfai/assistant/skill/` with the `rule/ skill/ agent/ prompt/` assistant tree) When `qfai init --force` runs Then `10_workflow.md` is deleted","spec-0003/02_User-stories.md:111","- Parent: CAP-0003 - Goal: 非推奨ファイル（10_workflow.md 等）を検出し、`--force` 時に削除する - Non-goals: レガシーファイルの自動変換"
"AC-0003-0008","1","spec-0003/03_Acceptance-Criteria.md:76","# AC-0003-0008","gherkin_textual","","US-0003-0008","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0008: 旧ラッパー prune. Review source bodies before plan inclusion.","review_for_migration","Scenario: 旧ラッパー prune Given `.claude/commands/qfai-*.md` と `.github/prompts/qfai-*.prompt.md` が存在する When `qfai init --force` を実行する Then 旧 commands/prompts のラッパーファイルが削除される","spec-0003/02_User-stories.md:117","- Parent: CAP-0003 - Goal: `--force` 時に `.claude/commands/qfai-*.md`、`.github/prompts/qfai-*.prompt.md`、旧 skill ディレクトリ（symlink ではない qfai-\* ディレクトリ）を prune する - Non-goals: 非 QFAI 管理のファイル削除"
"AC-0003-0009","1","spec-0003/03_Acceptance-Criteria.md:84","# AC-0003-0009","gherkin_textual","","US-0003-0009","proposed_semantic","AC heading/scenario '' describes the action in US-0003-0009: Git symlink 設定 + Windows 対応. Review source bodies before plan inclusion.","review_for_migration","Scenario: git config core.symlinks 設定 Given Git リポジトリ内で `qfai init` を実行する When init 処理が開始される Then `git config core.symlinks true` が実行される","spec-0003/02_User-stories.md:123","- Parent: CAP-0003 - Goal: `qfai init` 実行時に `git config core.symlinks true` を自動設定し、Windows では EPERM 時に Developer Mode 有効化の案内を表示する - Non-goals: Windows Developer Mode の自動有効化"
